id	region_id	timestamp	type	participants	vehicles	victims	fatalities	city	street	house	road	km	m	places	problems	reasons
171959454	80512	2015-06-10 14:00:00	Столкновение	2	2	1	0	г Волгоград	ул им Неждановой	12				Нерегулируемый перекрёсток неравнозначных улиц (дорог)		Водитель: Несоблюдение очередности проезда
171612345	80512	2015-06-10 19:15:00	Столкновение	2	2	1	0	г Волгоград	ул им Гагарина	16				Нерегулируемый перекрёсток равнозначных улиц (дорог)		Водитель: Несоблюдение очередности проезда
171449015	80512	2015-06-09 10:40:00	Столкновение	2	2	1	0	г Волгоград	б-р 30-летия Победы	38	Волгограду			Нерегулируемый перекрёсток равнозначных улиц (дорог)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Несоблюдение очередности проезда
176965738	80512	2015-06-09 13:20:00	Столкновение	2	2	1	0	г Волгоград	б-р 30-летия Победы	15				Перегон (нет объектов на месте ДТП)		Водитель: Другие нарушения ПДД водителем
171444380	80512	2015-06-09 11:30:00	Наезд на велосипедиста	2	2	1	0	г Волгоград	ул 40 лет ВЛКСМ	144				Внутридворовая территория		Водитель: Другие нарушения ПДД водителем
172320440	80512	2015-06-09 00:40:00	Наезд на препятствие	2	1	2	0	г Волгоград	пр-кт им Маршала Советского Союза Г.К.Жукова	94				Перегон (нет объектов на месте ДТП)		Водитель: Превышение установленной скорости движения; Водитель: Другие нарушения ПДД водителем
171560357	80512	2015-06-09 17:00:00	Столкновение	3	2	1	0	г Волгоград	ул Песчаная	1				Регулируемый пешеходный переход; Регулируемый перекресток		Водитель: Несоблюдение очередности проезда
171539609	80512	2015-06-08 09:40:00	Столкновение	4	2	2	0	г Волгоград	ул Череповецкая	21а				Регулируемый пешеходный переход; Регулируемый перекресток	Отсутствие дорожных знаков в необходимых местах; Отсутствие пешеходных ограждений в необходимых местах	Водитель: Неправильный выбор дистанции
171444378	80512	2015-06-08 16:10:00	Опрокидывание	3	1	2	0	г Волгоград	ул Латошинская	28км				Регулируемый перекресток	Неисправность светофора	
171518511	80512	2015-06-08 20:00:00	Наезд на велосипедиста	2	2	1	0	г Волгоград	ул Алексеевская	23				Иное место		Велосипедист: Несоблюдение очередности проезда
